"createdAt","updatedAt","id","name"
"2023-10-20 03:46:12.746304","2023-10-20 03:46:12.746304","0829496e-94a3-43f6-b2f3-1066a9e75f89","Truyền thông"
"2023-09-08 08:07:08.919471","2023-09-08 08:07:08.919471","090ac6c6-31b6-4824-b795-b33c098b1db8","CEO"
"2023-06-02 02:07:13.69337","2023-06-02 02:07:13.69337","112df2ce-cbc3-428d-a90e-2ba8aefc8369","Thư ký/Admin sàn"
"2023-06-02 02:41:42.618372","2023-06-02 02:41:42.618372","24b78319-2a84-47b2-a9c9-15a3c26a7ac9","Kế toán"
"2023-07-18 06:54:59.14955","2023-07-18 06:54:59.14955","2d830474-3566-4eea-987b-5c172526b2f4","KKD - Trưởng phòng KD"
"2023-06-01 09:55:24.364908","2023-06-01 09:55:24.364908","3bfc1672-3672-4920-badd-19815ba5d5d9","Admin support (IT)"
"2023-05-18 08:11:02.484466","2023-05-18 08:11:02.484466","480d71a6-7cb7-4dda-a517-cd306e6654a9","sysadmin"
"2023-06-02 02:19:08.110592","2023-06-02 02:19:08.110592","4ee6b052-5654-4c3d-8702-7a3f720872d3","KKD - Ban Tiếp Thị/Tiếp Thị CQ"
"2023-07-18 06:48:58.64678","2023-07-18 06:48:58.64678","50dcc918-8b46-4c54-8e36-494567291f2a","KKD - Trưởng nhóm KD"
"2023-06-02 02:40:48.673988","2023-06-02 02:40:48.673988","56b7954b-b617-43c7-a0d7-508870a8df3a","Trung tâm DV Khách hàng"
"2023-06-02 02:16:54.069015","2023-06-02 02:16:54.069015","61873c2f-1496-42c1-9e4f-dffebc114019","Quản lý (GĐ/PGĐ Dự Án)"
"2023-09-08 08:04:50.118892","2023-09-08 08:04:50.118892","69dd86b6-04a4-4809-bd16-126756cf89fd","KSNB"
"2023-06-02 01:57:20.100844","2023-06-02 01:57:20.100844","7270febb-eadc-4e39-994e-0d8830d82078","KKD - Nhân viên/Chuyên viên KD"
"2023-06-02 02:15:56.003651","2023-06-02 02:15:56.003651","77b14e3d-4a69-4290-8921-64323f88f8bc","Quản lý (GĐ/PGĐ sàn)"
"2023-10-20 07:55:26.641714","2023-10-20 07:55:26.641714","8ffd2b41-44df-498f-b768-2a2caae762e9","SPA"
"2023-09-08 08:03:47.524511","2023-09-08 08:03:47.524511","a6f6918e-be2c-438b-be6f-8804a7252a7e","Quản trị Tài Chính"
"2024-03-25 02:53:02.614913","2024-03-25 02:53:02.614913","a73e1556-93f0-4af1-99bc-4d08798db382","General Account - View Only"
"2023-06-02 02:43:33.92512","2023-06-02 02:43:33.92512","e252e34e-498b-4bec-9027-4bce6c074ecc","Quản trị nội bộ KKD"
